dog_breed,description,image
akita inu,"Akita Inu hay chó Akita hay Akita Nhật là một giống chó quý có nguồn gốc từ Nhật Bản. Chúng được coi là giống chó chính thức và là Quốc khuyển của Nhật Bản vì những đặc tính ưu điểm của mình. Akita có hai loại chính, chủng Nhật Bản và Mỹ, Akita Nhật có màu trắng, nâu đốm, nâu vàng hoặc đỏ trong khi Akita Mỹ thì rất phong phú. Akita Nhật thường sống ở vùng đồi núi ở Nhật Bản. Chó Akita to, khỏe và khá ương ngạnh. Chúng mạnh mẽ, độc lập và có tính thống trị, chúng rất vui vẻ hòa đồng với các thành viên trong gia đình nhưng tránh xa người lạ do sự phân chia lãnh thổ, do đó có thể trở nên nguy hiểm.
Chúng thường tỏ ra hung hăng với những con chó khác nếu không được bảo ban, dạy dỗ chu đáo. Chúng còn được biết đến là giống chó ngoan ngoãn, dễ bảo, nhưng đôi khi cũng tỏ ra cứng đầu. Rất tận tụy và yêu quý gia chủ, chúng thông minh, can đảm và rất thận trọng, không thân thiện với người lạ nhưng bản tính của Akita là trung thành và rất có tình nghĩa với chủ nhân. Giá thành của chúng đắt với 3.500 USD cho mỗi con.[4] Trong văn hóa đại chúng, giống chó này được biết đến thông qua chú chó Hachikō, chú chó lông xù Wasao và những chú chó trong bộ truyện tranh Chú chó có nghĩa (tiếng Nhật: Ginga: Nagareboshi Gin)
Tên khác: Akita ken, Akita Nhật, Akita Mỹ, Đại khuyển Nhật Bản
Nguồn gốc: Nhật Bản
Đặc điểm
Nặng: - Đực: Nhật: 70–85 pound (32–39 kg); Mỹ: 100–145 pound (45–66 kg)
- Cái: Nhật: 50–65 pound (23–29 kg); Mỹ: 80–120 pound (36–54 kg)
Cao: - Đực: Nhật: 64–70 cm (25 ¼–27 ½ in); Mỹ: 26–28 inch (66–71 cm)
- Cái: Nhật: 58–64 cm (22 ¾–25 ¼ in); Mỹ: 24–26 inch (61–66 cm)
Bộ lông: Hai lớp lông
Lứa đẻ: 3–12 cún, trung bình 7–8
Tuổi thọ: 10 năm",https://upload.wikimedia.org/wikipedia/commons/a/a7/Akita_Inu_dog.jpg
akita ken,"Akita Inu hay chó Akita hay Akita Nhật là một giống chó quý có nguồn gốc từ Nhật Bản. Chúng được coi là giống chó chính thức và là Quốc khuyển của Nhật Bản vì những đặc tính ưu điểm của mình. Akita có hai loại chính, chủng Nhật Bản và Mỹ, Akita Nhật có màu trắng, nâu đốm, nâu vàng hoặc đỏ trong khi Akita Mỹ thì rất phong phú. Akita Nhật thường sống ở vùng đồi núi ở Nhật Bản. Chó Akita to, khỏe và khá ương ngạnh. Chúng mạnh mẽ, độc lập và có tính thống trị, chúng rất vui vẻ hòa đồng với các thành viên trong gia đình nhưng tránh xa người lạ do sự phân chia lãnh thổ, do đó có thể trở nên nguy hiểm.
Chúng thường tỏ ra hung hăng với những con chó khác nếu không được bảo ban, dạy dỗ chu đáo. Chúng còn được biết đến là giống chó ngoan ngoãn, dễ bảo, nhưng đôi khi cũng tỏ ra cứng đầu. Rất tận tụy và yêu quý gia chủ, chúng thông minh, can đảm và rất thận trọng, không thân thiện với người lạ nhưng bản tính của Akita là trung thành và rất có tình nghĩa với chủ nhân. Giá thành của chúng đắt với 3.500 USD cho mỗi con.[4] Trong văn hóa đại chúng, giống chó này được biết đến thông qua chú chó Hachikō, chú chó lông xù Wasao và những chú chó trong bộ truyện tranh Chú chó có nghĩa (tiếng Nhật: Ginga: Nagareboshi Gin)
Tên khác: Akita ken, Akita Nhật, Akita Mỹ, Đại khuyển Nhật Bản
Nguồn gốc: Nhật Bản
Đặc điểm
Nặng: - Đực: Nhật: 70–85 pound (32–39 kg); Mỹ: 100–145 pound (45–66 kg)
- Cái: Nhật: 50–65 pound (23–29 kg); Mỹ: 80–120 pound (36–54 kg)
Cao: - Đực: Nhật: 64–70 cm (25 ¼–27 ½ in); Mỹ: 26–28 inch (66–71 cm)
- Cái: Nhật: 58–64 cm (22 ¾–25 ¼ in); Mỹ: 24–26 inch (61–66 cm)
Bộ lông: Hai lớp lông
Lứa đẻ: 3–12 cún, trung bình 7–8
Tuổi thọ: 10 năm",https://upload.wikimedia.org/wikipedia/commons/a/a7/Akita_Inu_dog.jpg
akita nhật,"Akita Inu hay chó Akita hay Akita Nhật là một giống chó quý có nguồn gốc từ Nhật Bản. Chúng được coi là giống chó chính thức và là Quốc khuyển của Nhật Bản vì những đặc tính ưu điểm của mình. Akita có hai loại chính, chủng Nhật Bản và Mỹ, Akita Nhật có màu trắng, nâu đốm, nâu vàng hoặc đỏ trong khi Akita Mỹ thì rất phong phú. Akita Nhật thường sống ở vùng đồi núi ở Nhật Bản. Chó Akita to, khỏe và khá ương ngạnh. Chúng mạnh mẽ, độc lập và có tính thống trị, chúng rất vui vẻ hòa đồng với các thành viên trong gia đình nhưng tránh xa người lạ do sự phân chia lãnh thổ, do đó có thể trở nên nguy hiểm.
Chúng thường tỏ ra hung hăng với những con chó khác nếu không được bảo ban, dạy dỗ chu đáo. Chúng còn được biết đến là giống chó ngoan ngoãn, dễ bảo, nhưng đôi khi cũng tỏ ra cứng đầu. Rất tận tụy và yêu quý gia chủ, chúng thông minh, can đảm và rất thận trọng, không thân thiện với người lạ nhưng bản tính của Akita là trung thành và rất có tình nghĩa với chủ nhân. Giá thành của chúng đắt với 3.500 USD cho mỗi con.[4] Trong văn hóa đại chúng, giống chó này được biết đến thông qua chú chó Hachikō, chú chó lông xù Wasao và những chú chó trong bộ truyện tranh Chú chó có nghĩa (tiếng Nhật: Ginga: Nagareboshi Gin)
Tên khác: Akita ken, Akita Nhật, Akita Mỹ, Đại khuyển Nhật Bản
Nguồn gốc: Nhật Bản
Đặc điểm
Nặng: - Đực: Nhật: 70–85 pound (32–39 kg); Mỹ: 100–145 pound (45–66 kg)
- Cái: Nhật: 50–65 pound (23–29 kg); Mỹ: 80–120 pound (36–54 kg)
Cao: - Đực: Nhật: 64–70 cm (25 ¼–27 ½ in); Mỹ: 26–28 inch (66–71 cm)
- Cái: Nhật: 58–64 cm (22 ¾–25 ¼ in); Mỹ: 24–26 inch (61–66 cm)
Bộ lông: Hai lớp lông
Lứa đẻ: 3–12 cún, trung bình 7–8
Tuổi thọ: 10 năm",https://upload.wikimedia.org/wikipedia/commons/a/a7/Akita_Inu_dog.jpg
akita mỹ,"Akita Inu hay chó Akita hay Akita Nhật là một giống chó quý có nguồn gốc từ Nhật Bản. Chúng được coi là giống chó chính thức và là Quốc khuyển của Nhật Bản vì những đặc tính ưu điểm của mình. Akita có hai loại chính, chủng Nhật Bản và Mỹ, Akita Nhật có màu trắng, nâu đốm, nâu vàng hoặc đỏ trong khi Akita Mỹ thì rất phong phú. Akita Nhật thường sống ở vùng đồi núi ở Nhật Bản. Chó Akita to, khỏe và khá ương ngạnh. Chúng mạnh mẽ, độc lập và có tính thống trị, chúng rất vui vẻ hòa đồng với các thành viên trong gia đình nhưng tránh xa người lạ do sự phân chia lãnh thổ, do đó có thể trở nên nguy hiểm.
Chúng thường tỏ ra hung hăng với những con chó khác nếu không được bảo ban, dạy dỗ chu đáo. Chúng còn được biết đến là giống chó ngoan ngoãn, dễ bảo, nhưng đôi khi cũng tỏ ra cứng đầu. Rất tận tụy và yêu quý gia chủ, chúng thông minh, can đảm và rất thận trọng, không thân thiện với người lạ nhưng bản tính của Akita là trung thành và rất có tình nghĩa với chủ nhân. Giá thành của chúng đắt với 3.500 USD cho mỗi con.[4] Trong văn hóa đại chúng, giống chó này được biết đến thông qua chú chó Hachikō, chú chó lông xù Wasao và những chú chó trong bộ truyện tranh Chú chó có nghĩa (tiếng Nhật: Ginga: Nagareboshi Gin)
Tên khác: Akita ken, Akita Nhật, Akita Mỹ, Đại khuyển Nhật Bản
Nguồn gốc: Nhật Bản
Đặc điểm
Nặng: - Đực: Nhật: 70–85 pound (32–39 kg); Mỹ: 100–145 pound (45–66 kg)
- Cái: Nhật: 50–65 pound (23–29 kg); Mỹ: 80–120 pound (36–54 kg)
Cao: - Đực: Nhật: 64–70 cm (25 ¼–27 ½ in); Mỹ: 26–28 inch (66–71 cm)
- Cái: Nhật: 58–64 cm (22 ¾–25 ¼ in); Mỹ: 24–26 inch (61–66 cm)
Bộ lông: Hai lớp lông
Lứa đẻ: 3–12 cún, trung bình 7–8
Tuổi thọ: 10 năm",https://upload.wikimedia.org/wikipedia/commons/a/a7/Akita_Inu_dog.jpg
đại khuyển nhật bản,"Akita Inu hay chó Akita hay Akita Nhật là một giống chó quý có nguồn gốc từ Nhật Bản. Chúng được coi là giống chó chính thức và là Quốc khuyển của Nhật Bản vì những đặc tính ưu điểm của mình. Akita có hai loại chính, chủng Nhật Bản và Mỹ, Akita Nhật có màu trắng, nâu đốm, nâu vàng hoặc đỏ trong khi Akita Mỹ thì rất phong phú. Akita Nhật thường sống ở vùng đồi núi ở Nhật Bản. Chó Akita to, khỏe và khá ương ngạnh. Chúng mạnh mẽ, độc lập và có tính thống trị, chúng rất vui vẻ hòa đồng với các thành viên trong gia đình nhưng tránh xa người lạ do sự phân chia lãnh thổ, do đó có thể trở nên nguy hiểm.
Chúng thường tỏ ra hung hăng với những con chó khác nếu không được bảo ban, dạy dỗ chu đáo. Chúng còn được biết đến là giống chó ngoan ngoãn, dễ bảo, nhưng đôi khi cũng tỏ ra cứng đầu. Rất tận tụy và yêu quý gia chủ, chúng thông minh, can đảm và rất thận trọng, không thân thiện với người lạ nhưng bản tính của Akita là trung thành và rất có tình nghĩa với chủ nhân. Giá thành của chúng đắt với 3.500 USD cho mỗi con.[4] Trong văn hóa đại chúng, giống chó này được biết đến thông qua chú chó Hachikō, chú chó lông xù Wasao và những chú chó trong bộ truyện tranh Chú chó có nghĩa (tiếng Nhật: Ginga: Nagareboshi Gin)
Tên khác: Akita ken, Akita Nhật, Akita Mỹ, Đại khuyển Nhật Bản
Nguồn gốc: Nhật Bản
Đặc điểm
Nặng: - Đực: Nhật: 70–85 pound (32–39 kg); Mỹ: 100–145 pound (45–66 kg)
- Cái: Nhật: 50–65 pound (23–29 kg); Mỹ: 80–120 pound (36–54 kg)
Cao: - Đực: Nhật: 64–70 cm (25 ¼–27 ½ in); Mỹ: 26–28 inch (66–71 cm)
- Cái: Nhật: 58–64 cm (22 ¾–25 ¼ in); Mỹ: 24–26 inch (61–66 cm)
Bộ lông: Hai lớp lông
Lứa đẻ: 3–12 cún, trung bình 7–8
Tuổi thọ: 10 năm",https://upload.wikimedia.org/wikipedia/commons/a/a7/Akita_Inu_dog.jpg
alaskan malamute,"Chó Alaska hay Alaska Malamute hoặc Mahlemuts hoặc Khang là một giống chó kéo xe ở Alaska. Giống chó được đặt tên theo bộ tộc Mahlemut là Malamute. Người Eskimo du mục ở Alaska đã khám phá ra chúng có khả năng di chuyển và kéo xe trên tuyết một khoảng cách rất lớn và liên tục. Họ đã cho lai tạo với những giống khác như chó Newfoundland hoặc St Bernard để có được giống chó ngày càng to hơn, khỏe hơn, bền bỉ hơn, và chịu được thời tiết khắc nghiệt của vùng Bắc Cực. Người Nga đã dùng những chú chó này đê chở lông thú và thịt thú rừng tới những khu vực lân cận để bán và đổi các mặt hàng khác. Giống chó này đòi hỏi được tập luyện hàng ngày nếu không chúng sẽ buồn chán và phá hoại.
Biệt hiệu: Mal hay Mally
Nguồn gốc: Hoa Kỳ (Alaska)
Đặc điểm
Nặng: - Đực: 38.5 kg - 55 kg (85 lb) - (123 lb)
- Cái: 34 kg - 45 kg (75 lb) - (100 lb)
Cao: - Đực: 63.5 cm (25 inches)
- Cái: 58.4 cm (23 inches)
Bộ lông: Dày, hai lớp
Màu: xám, đen, đỏ, trắng
Lứa đẻ: 4-10 chó con
Tuổi thọ: 13-16 năm",https://upload.wikimedia.org/wikipedia/commons/7/7a/Alaskan_Malamute_R_Bartz.jpg
alaska,"Chó Alaska hay Alaska Malamute hoặc Mahlemuts hoặc Khang là một giống chó kéo xe ở Alaska. Giống chó được đặt tên theo bộ tộc Mahlemut là Malamute. Người Eskimo du mục ở Alaska đã khám phá ra chúng có khả năng di chuyển và kéo xe trên tuyết một khoảng cách rất lớn và liên tục. Họ đã cho lai tạo với những giống khác như chó Newfoundland hoặc St Bernard để có được giống chó ngày càng to hơn, khỏe hơn, bền bỉ hơn, và chịu được thời tiết khắc nghiệt của vùng Bắc Cực. Người Nga đã dùng những chú chó này đê chở lông thú và thịt thú rừng tới những khu vực lân cận để bán và đổi các mặt hàng khác. Giống chó này đòi hỏi được tập luyện hàng ngày nếu không chúng sẽ buồn chán và phá hoại.
Biệt hiệu: Mal hay Mally
Nguồn gốc: Hoa Kỳ (Alaska)
Đặc điểm
Nặng: - Đực: 38.5 kg - 55 kg (85 lb) - (123 lb)
- Cái: 34 kg - 45 kg (75 lb) - (100 lb)
Cao: - Đực: 63.5 cm (25 inches)
- Cái: 58.4 cm (23 inches)
Bộ lông: Dày, hai lớp
Màu: xám, đen, đỏ, trắng
Lứa đẻ: 4-10 chó con
Tuổi thọ: 13-16 năm",https://upload.wikimedia.org/wikipedia/commons/7/7a/Alaskan_Malamute_R_Bartz.jpg
mahlemuts,"Chó Alaska hay Alaska Malamute hoặc Mahlemuts hoặc Khang là một giống chó kéo xe ở Alaska. Giống chó được đặt tên theo bộ tộc Mahlemut là Malamute. Người Eskimo du mục ở Alaska đã khám phá ra chúng có khả năng di chuyển và kéo xe trên tuyết một khoảng cách rất lớn và liên tục. Họ đã cho lai tạo với những giống khác như chó Newfoundland hoặc St Bernard để có được giống chó ngày càng to hơn, khỏe hơn, bền bỉ hơn, và chịu được thời tiết khắc nghiệt của vùng Bắc Cực. Người Nga đã dùng những chú chó này đê chở lông thú và thịt thú rừng tới những khu vực lân cận để bán và đổi các mặt hàng khác. Giống chó này đòi hỏi được tập luyện hàng ngày nếu không chúng sẽ buồn chán và phá hoại.
Biệt hiệu: Mal hay Mally
Nguồn gốc: Hoa Kỳ (Alaska)
Đặc điểm
Nặng: - Đực: 38.5 kg - 55 kg (85 lb) - (123 lb)
- Cái: 34 kg - 45 kg (75 lb) - (100 lb)
Cao: - Đực: 63.5 cm (25 inches)
- Cái: 58.4 cm (23 inches)
Bộ lông: Dày, hai lớp
Màu: xám, đen, đỏ, trắng
Lứa đẻ: 4-10 chó con
Tuổi thọ: 13-16 năm",https://upload.wikimedia.org/wikipedia/commons/7/7a/Alaskan_Malamute_R_Bartz.jpg
american eskimo,"Chó Eskimo Mỹ (tiếng Anh: American Eskimo Dog) là một giống chó cảnh có nguồn gốc từ Đức với bộ lông trắng như tuyết. Nó là một loài trong giống chó Spitz. Giống Spitz là tổ tiên của một số giống chó nhà. Spitz trắng từng có mặt rất phổ biến ở Pommern và các vùng ven biển bắc Đức. Các thuyền viên mang chúng đi bán khắp châu Âu.
Từ khi Nữ hoàng Anh Charlotte tậu một con Spitz trắng, giống chó này đã trở thành chó mốt của giới quý tộc Anh quốc. Chúng cũng đã được Gainsborough đưa vào các kiệt tác hội họa của mình. Những người di cư Đức mang Spitz trắng sang Hợp chủng quốc Hoa Kỳ để làm chó canh gác, chó gia đình và chó xiếc. Năm 1917 giống chó Spitz trắng Đức nổi tiếng tại Mỹ được đổi tên thành American Eskimo.
Tên khác: Eskimo Spitz, American Spitz, German Spitz
Biệt hiệu: Eskie
Nguồn gốc: Đức
Đặc điểm
Bộ lông: mềm
Màu: trắng",https://upload.wikimedia.org/wikipedia/commons/e/e3/American_Eskimo_Dog_portrait_above.jpg
eskimo mỹ,"Chó Eskimo Mỹ (tiếng Anh: American Eskimo Dog) là một giống chó cảnh có nguồn gốc từ Đức với bộ lông trắng như tuyết. Nó là một loài trong giống chó Spitz. Giống Spitz là tổ tiên của một số giống chó nhà. Spitz trắng từng có mặt rất phổ biến ở Pommern và các vùng ven biển bắc Đức. Các thuyền viên mang chúng đi bán khắp châu Âu.
Từ khi Nữ hoàng Anh Charlotte tậu một con Spitz trắng, giống chó này đã trở thành chó mốt của giới quý tộc Anh quốc. Chúng cũng đã được Gainsborough đưa vào các kiệt tác hội họa của mình. Những người di cư Đức mang Spitz trắng sang Hợp chủng quốc Hoa Kỳ để làm chó canh gác, chó gia đình và chó xiếc. Năm 1917 giống chó Spitz trắng Đức nổi tiếng tại Mỹ được đổi tên thành American Eskimo.
Tên khác: Eskimo Spitz, American Spitz, German Spitz
Biệt hiệu: Eskie
Nguồn gốc: Đức
Đặc điểm
Bộ lông: mềm
Màu: trắng",https://upload.wikimedia.org/wikipedia/commons/e/e3/American_Eskimo_Dog_portrait_above.jpg
